TITLE,ADDITIONAL FEATURES,STREET,CITY,ZIP_CODE,COUNTY,ACTION STAGE(S),Owner: Contact Name,Owner: Company Address Line 1,OWNER NAME,Engineer: Company Name,Civil Eng: Company Name,Consultant: Company Name,Civil Eng: Contact Name,HIGH VALUE(S),URL LINK TO PROJECT,SQUARE AREA,PROJECT TYPE(S),SITE NAME,NUMBER OF BLDGS,FIRST PUBLISH DATE,FULL_ADDRESS,LATITUDE,LONGITUDE
Warehouse 2,N/A,1875 NJ-34,WALL TOWNSHIP,'07719',MONMOUTH,Planning Schematics,Seth Gerszberg,5 TENAFLY RD STE 416,Active Acquisitions,N/A,Colliers Engineering,N/A,Patrick Lynam,14999999,https://apps.construction.com/projects/202200533393,139746,Warehouse,N/A,1,3/11/2022,"1875 NJ-34, WALL TOWNSHIP, MONMOUTH, NJ '07719'",40.1785411,-74.12134069999999
Warehouse 1,N/A,1875 NJ-34,WALL TOWNSHIP,'07719',MONMOUTH,Planning Schematics,Seth Gerszberg,5 TENAFLY RD STE 416,Active Acquisitions,N/A,Colliers Engineering,N/A,Patrick Lynam,14999999,https://apps.construction.com/projects/202200533382,139746,Warehouse,N/A,1,3/11/2022,"1875 NJ-34, WALL TOWNSHIP, MONMOUTH, NJ '07719'",40.1785411,-74.12134069999999
Warehouse,Construction a new warehouse,861 Sloan Ave,HAMILTON TOWNSHIP,'086192102',MERCER,Design Development,Steve Collins,1650 DES PERES RD STE 300,Commercial Development Co Inc,N/A,"Langan Engineering & Envir. Svcs., Inc.",N/A,Bryan M Waisnor,49999999,https://apps.construction.com/projects/202100765385,420024,Warehouse,N/A,1,9/9/2021,"861 Sloan Ave, HAMILTON TOWNSHIP, MERCER, NJ '086192102'",40.2507663,-74.70371089999999
Warehouse & Office Building,"Construct a 45 single story warehouse facility consisting of; approximately 325,000 SF, containing approximately 313,000 sf of; warehouse space and 12,000 sf of office space.",399 Princeton Hightstown Rd,EAST WINDSOR,'08512',MERCER,Design Development,N/A,250 VESEY ST FL 15,Brookfield Asset Management Inc.,N/A,Dynamic Engineering Consultants PC,John McDonough Associates LLC,Brett Skapinetz,49999999,https://apps.construction.com/projects/202200735733,325000,Office Warehouse,N/A,1,8/24/2022,"399 Princeton Hightstown Rd, EAST WINDSOR, MERCER, NJ '08512'",40.29224,-74.574298
Contractors Warehouse Building D,N/A,540 N County Line Rd,JACKSON TOWNSHIP,'085274433',OCEAN,Planning Schematics,N/A,N/A,N/A,N/A,Professional Design Services LLC,N/A,N/A,49999999,https://apps.construction.com/projects/202200862281,230283,Warehouse,N/A,1,12/15/2022,"540 N County Line Rd, JACKSON TOWNSHIP, OCEAN, NJ '085274433'",40.1447995,-74.31512529999999
Contractors Warehouse Building C,for 4 tenants,540 N County Line Rd,JACKSON TOWNSHIP,'085274433',OCEAN,Planning Schematics,N/A,N/A,N/A,N/A,Professional Design Services LLC,N/A,N/A,24999999,https://apps.construction.com/projects/202200862272,146319,Warehouse,N/A,1,12/15/2022,"540 N County Line Rd, JACKSON TOWNSHIP, OCEAN, NJ '085274433'",40.1447995,-74.31512529999999
Warehouse,N/A,8 International Ave,DEPTFORD,'080804257',GLOUCESTER,Planning Schematics,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14999999,https://apps.construction.com/projects/202200817243,140909,Warehouse,N/A,1,11/4/2022,"8 International Ave, DEPTFORD, GLOUCESTER, NJ '080804257'",39.78139840000001,-75.1105702
Warehouse Distribution Facility,"Construction of a 1,005,000 SF Warehouse/Distribution Facility",1091 Florence Columbus Rd,FIELDSBORO,'085054219',BURLINGTON,Planning Schematics,Cliff Braunstein,2 COOPER ST,NFI Real Estate,Traffic Planning & Design Inc,"Taylor, Wiseman & Taylor",N/A,N/A,102885349,https://apps.construction.com/projects/202200495860,1005000,Warehouse,N/A,1,2/11/2022,"1091 Florence Columbus Rd, FIELDSBORO, BURLINGTON, NJ '085054219'",40.0900957,-74.7620135
Old York Road - Warehouse,construct warehouse on Olde York Country Club site,228 Old York Rd,CHESTERFIELD TOWNSHIP,'085152219',BURLINGTON,Pre-Design,Seth Gerszberg,5 TENAFLY RD STE 416,Active Acquisitions,N/A,Colliers Engineering & Design,N/A,N/A,112610830,https://apps.construction.com/projects/202300001860,1100000,Warehouse,N/A,1,1/4/2023,"228 Old York Rd, CHESTERFIELD TOWNSHIP, BURLINGTON, NJ '085152219'",40.1159883,-74.6936231
Oldmans Industrial Park,"Warehouse building of 85450 SF (including 20,000 +/- square feet of; office space) along with 75 +/- loading dock spaces, 482 +/- passenger; vehicle parking spaces, 166 +/- trailer parking spaces, storm water; management facilities, landscaping, buffering, sound attenuation; measures and other related site improvements",1366 Auburn Rd,SWEDESBORO,'08085',GLOUCESTER,Planning Schematics,N/A,21088 HAMLIN DR,Oldsman Creek Holdings LLC,N/A,Langan Engineering & Environmental Svcs,N/A,N/A,89520491,https://apps.construction.com/projects/202300197008,874450,Office Warehouse,N/A,1,5/18/2023,"1366 Auburn Rd, SWEDESBORO, GLOUCESTER, NJ '08085'",39.7254379,-75.3411409
